Version CSV1|Tool SBFspot3.8.3 (Linux)|Linebreaks LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Watt;Watt;Amp;Amp;Volt;Volt;Watt;Watt;Watt;Amp;Amp;Amp;Volt;Volt;Volt;Watt;Watt;%;kWh;kWh;Hz;Hours;Hours;%;Status;Status;degC
dd/MM/yyyy HH:mm:ss;DeviceName;DeviceType;Serial;Pdc1;Pdc2;Idc1;Idc2;Udc1;Udc2;Pac1;Pac2;Pac3;Iac1;Iac2;Iac3;Uac1;Uac2;Uac3;PdcTot;PacTot;Efficiency;EToday;ETotal;Frequency;OperatingTime;FeedInTime;BT_Signal;Condition;GridRelay;Temperature
11/11/2022 08:45;STP 12000TL-20 930;STP 12000TL-20;304998930;0;0;0;0;560,54;561,27;0;0;0;0;0;0;242,37;242,98;243,33;0;0;0;0;114704,258;50,01;26119,514;24954,54;77,255;Fault;Open;40,12
11/11/2022 08:50;STP 12000TL-20 930;STP 12000TL-20;304998930;0;0;0;0;559,15;559,84;0;0;0;0;0;0;242,02;242,33;242,69;0;0;0;0;114704,258;49,95;26119,597;24954,54;78,431;Fault;Open;40,15
11/11/2022 08:55;STP 12000TL-20 930;STP 12000TL-20;304998930;3641;1841;8,147;3,944;447,06;466,99;1808;1794;1801;7,28;7,221;7,23;248,39;248,45;249,03;5482;5403;98,559;0,338;114704,599;49,97;26119,681;24954,606;77,647;Ok;Closed;41
11/11/2022 09:00;STP 12000TL-20 930;STP 12000TL-20;304998930;3786;1917;8,473;4,107;447,02;466,86;1882;1868;1873;7,569;7,506;7,519;248,66;248,84;249,09;5703;5623;98,597;0,795;114705,057;50;26119,764;24954,689;78,431;Ok;Closed;43,42
11/11/2022 09:05;STP 12000TL-20 930;STP 12000TL-20;304998930;3953;2002;8,88;4,267;445,02;468,64;1961;1946;1950;7,889;7,824;7,828;248,58;248,71;249,06;5955;5857;98,354;1,274;114705,534;49,95;26119,847;24954,772;78,824;Ok;Closed;46,03
11/11/2022 09:10;STP 12000TL-20 930;STP 12000TL-20;304998930;4035;2040;9,154;4,481;441,56;456,98;2008;1989;1999;8,07;7,993;8,015;248,87;248,86;249,41;6075;5996;98,7;1,767;114706,028;49,99;26119,931;24954,856;79,216;Ok;Closed;48,64
11/11/2022 09:15;STP 12000TL-20 930;STP 12000TL-20;304998930;4025;2038;9,011;4,412;446,76;462,18;1998;1984;1985;8,057;7,989;7,992;248,63;248,87;248,71;6063;5979;98,417;2,225;114706,496;49,96;26120,014;24954,939;78,039;Ok;Closed;51,15
11/11/2022 09:20;STP 12000TL-20 930;STP 12000TL-20;304998930;4276;2171;9,621;4,72;444,63;460,15;2122;2105;2107;8,547;8,481;8,492;248,97;248,93;248,75;6447;6334;98,247;2,734;114707,007;50,07;26120,097;24955,022;78,039;Ok;Closed;53,87
11/11/2022 09:25;STP 12000TL-20 930;STP 12000TL-20;304998930;4372;2220;9,883;4,847;442,55;458,07;2164;2148;2154;8,754;8,681;8,702;248,19;248,37;248,57;6592;6466;98,089;3,269;114707,54;50,01;26120,181;24955,106;79,216;Ok;Closed;57,9
11/11/2022 09:30;STP 12000TL-20 930;STP 12000TL-20;304998930;4494;2282;10,337;5,061;434,15;449,66;2217;2202;2206;8,984;8,92;8,927;248,11;248,2;248,48;6776;6625;97,772;3,813;114708,083;49,96;26120,264;24955,189;77,647;Ok;Closed;61,19
11/11/2022 09:34;STP 12000TL-20 930;STP 12000TL-20;304998930;4606;2338;10,614;5,204;434,02;449,44;2291;2272;2279;9,311;9,234;9,252;247,71;247,7;247,99;6944;6842;98,531;4,373;114708,647;49,93;26120,347;24955,272;76,078;Ok;Closed;64,33
11/11/2022 09:39;STP 12000TL-20 930;STP 12000TL-20;304998930;4705;2391;10,533;5,174;446,76;462,18;2332;2318;2317;9,484;9,402;9,42;247,96;248,49;247,91;7096;6967;98,182;4,946;114709,217;49,97;26120,431;24955,356;76,078;Ok;Closed;66,96
11/11/2022 09:45;STP 12000TL-20 930;STP 12000TL-20;304998930;4878;2478;11,081;5,462;440,26;453,78;2409;2394;2394;9,802;9,723;9,736;248,28;248,66;248,34;7356;7197;97,839;5,535;114709,807;49,96;26120,514;24955,439;77,647;Ok;Closed;69,53
11/11/2022 09:50;STP 12000TL-20 930;STP 12000TL-20;304998930;4829;2457;11,023;5,418;438,18;453,65;2393;2378;2381;9,73;9,644;9,664;248,32;249;248,75;7286;7152;98,161;6,135;114710,409;50,02;26120,597;24955,522;76,863;Ok;Closed;71,9
11/11/2022 09:54;STP 12000TL-20 930;STP 12000TL-20;304998930;4993;2537;11,398;5,595;438,05;453,52;2473;2456;2455;10,066;9,974;9,986;248,58;249,07;248,75;7530;7384;98,061;6,706;114710,978;50,01;26120,681;24955,606;77,255;Ok;Closed;72,53
11/11/2022 09:59;STP 12000TL-20 930;STP 12000TL-20;304998930;5113;2594;11,848;5,802;431,59;447,28;2520;2506;2508;10,265;10,188;10,196;248,69;249,19;249,16;7707;7534;97,755;7,329;114711,601;49,98;26120,764;24955,689;77,647;Ok;Closed;75,35
11/11/2022 10:04;STP 12000TL-20 930;STP 12000TL-20;304998930;5210;2647;11,778;5,78;442,42;458,11;2569;2551;2557;10,492;10,394;10,41;248,61;249,09;249,04;7857;7681;97,709;7,962;114712,234;49,96;26120,847;24955,772;78,039;Ok;Closed;77,39
11/11/2022 10:10;STP 12000TL-20 930;STP 12000TL-20;304998930;5458;2774;12,52;6,119;435,92;453,52;2691;2671;2678;10,969;10,867;10,894;249,68;250,08;250,03;8232;8040;97,668;8,616;114712,887;50,06;26120,931;24955,856;78,039;Ok;Closed;79,46
11/11/2022 10:14;STP 12000TL-20 930;STP 12000TL-20;304998930;5104;2479;11,89;5,595;429,43;443,29;2404;2389;2394;9,787;9,705;9,736;248,65;249,13;248,84;7583;7187;94,778;9,297;114713,567;50,03;26121,014;24955,939;76,471;Ok;Closed;82,06
11/11/2022 10:19;STP 12000TL-20 930;STP 12000TL-20;304998930;2619;1170;5,825;2,514;449,96;465,69;1251;1242;1244;5,107;5,056;5,068;244,88;245,78;245,47;3789;3737;98,628;9,817;114714,087;49,9;26121,097;24956,022;80,392;Ok;Closed;79,79
11/11/2022 10:25;STP 12000TL-20 930;STP 12000TL-20;304998930;5768;2934;13,198;6,479;437,09;453;2833;2814;2820;11,62;11,519;11,551;249,01;249,5;249,33;8702;8467;97,299;10,478;114714,748;49,96;26121,181;24956,106;79,216;Ok;Closed;81,32
11/11/2022 10:29;STP 12000TL-20 930;STP 12000TL-20;304998930;5780;2939;13,625;6,4;424,36;459,37;2857;2832;2844;11,702;11,613;11,638;249,33;249,06;249,55;8719;8533;97,867;11,193;114715,466;49,96;26121,264;24956,189;80;Ok;Closed;85,56
11/11/2022 10:34;STP 12000TL-20 930;STP 12000TL-20;304998930;1236;578;2,79;1,232;443,38;469,98;614;605;609;2,531;2,491;2,504;242,62;242,95;243,4;1814;1828;100,772;11,759;114716,028;49,96;26121,347;24956,272;78,039;Ok;Closed;83,71
11/11/2022 10:40;STP 12000TL-20 930;STP 12000TL-20;304998930;1821;865;4,112;1,87;443,29;463,13;868;859;863;3,565;3,526;3,536;243,61;243,56;244,01;2686;2590;96,426;12,141;114716,409;49,96;26121,431;24956,356;78,431;Ok;Closed;78,54
11/11/2022 10:45;STP 12000TL-20 930;STP 12000TL-20;304998930;1256;582;2,805;1,213;447,54;480,21;618;608;612;2,55;2,508;2,523;242,45;242,56;242,92;1838;1838;100;12,406;114716,675;49,94;26121,514;24956,439;78,039;Ok;Closed;75,63
